Treino,Média
2012-2013_treino_75.csv_128-1,0.55
2012-2013_treino_76.csv_128-1,0.55
2012-2013_treino_77.csv_128-1,0.55
2012-2013_treino_78.csv_128-1,0.55
2012-2013_treino_79.csv_128-1,0.55
2012-2013_treino_80.csv_128-1,0.56
2012-2013_treino_81.csv_128-1,0.56
2012-2013_treino_82.csv_128-1,0.56
2012-2013_treino_83.csv_128-1,0.56
2012-2013_treino_84.csv_128-1,0.57
2012-2013_treino_85.csv_128-1,0.58
2012-2013_treino_86.csv_128-1,0.58
2012-2013_treino_87.csv_128-1,0.58
2012-2013_treino_88.csv_128-1,0.58
2012-2013_treino_89.csv_128-1,0.58
2012-2013_treino_90.csv_128-1,0.58
2012-2013_treino_91.csv_128-1,0.59
2012-2013_treino_92.csv_128-1,0.59
2012-2013_treino_93.csv_128-1,0.59
2012-2013_treino_94.csv_128-1,0.59
2012-2013_treino_95.csv_128-1,0.59
2012-2013_treino_96.csv_128-1,0.59
2012-2013_treino_97.csv_128-1,0.60
2012-2013_treino_98.csv_128-1,0.61
2012-2013_treino_99.csv_128-1,0.60
2012-2013_treino_100.csv_128-1,0.60
2012-2013_treino_101.csv_128-1,0.60
2012-2013_treino_102.csv_128-1,0.60
2012-2013_treino_103.csv_128-1,0.59
2012-2013_treino_104.csv_128-1,0.59
2012-2013_treino_105.csv_128-1,0.58
2012-2013_treino_106.csv_128-1,0.59
2012-2013_treino_107.csv_128-1,0.59
2012-2013_treino_108.csv_128-1,0.58
2012-2013_treino_109.csv_128-1,0.58
2012-2013_treino_110.csv_128-1,0.58
2012-2013_treino_111.csv_128-1,0.58
2012-2013_treino_112.csv_128-1,0.57
2012-2013_treino_113.csv_128-1,0.57
2012-2013_treino_114.csv_128-1,0.57
2012-2013_treino_115.csv_128-1,0.57
2012-2013_treino_116.csv_128-1,0.58
2012-2013_treino_117.csv_128-1,0.59
2012-2013_treino_118.csv_128-1,0.59
2012-2013_treino_119.csv_128-1,0.59
2012-2013_treino_120.csv_128-1,0.59
2012-2013_treino_121.csv_128-1,0.60
2012-2013_treino_122.csv_128-1,0.60
2012-2013_treino_123.csv_128-1,0.61
2012-2013_treino_124.csv_128-1,0.62
2012-2013_treino_125.csv_128-1,0.61
2012-2013_treino_126.csv_128-1,0.61
2012-2013_treino_127.csv_128-1,0.61
2012-2013_treino_128.csv_128-1,0.62
2012-2013_treino_129.csv_128-1,0.62
2012-2013_treino_130.csv_128-1,0.62
2012-2013_treino_131.csv_128-1,0.62
2012-2013_treino_132.csv_128-1,0.61
2012-2013_treino_133.csv_128-1,0.60
2012-2013_treino_134.csv_128-1,0.60
2012-2013_treino_135.csv_128-1,0.61
2012-2013_treino_136.csv_128-1,0.62
2012-2013_treino_137.csv_128-1,0.61
2012-2013_treino_138.csv_128-1,0.60
2012-2013_treino_139.csv_128-1,0.59
